IP,Protocol,Attack Type,DateTime,Interactions,Port,Severity,Response Time,Packet Size,Origin Country,Detected By
8.8.8.8,HTTP,SQL Injection,2025-02-12 10:46:52,90,80,High,221,405,India,SIEM
10.0.0.2,SSH,Brute Force,2025-02-12 10:46:52,86,22,High,61,437,Japan,Firewall
10.10.10.10,TCP,Port Scanning,2025-02-12 10:46:52,45,22,Medium,45,220,Brazil,IDS
192.0.2.6,DNS,DNS Amplification,2025-02-12 10:46:52,430,53,High,991,1231,Russia,IPS
8.8.8.8,SSH,Unauthorized Access,2025-02-12 10:46:52,163,22,High,165,546,Germany,Firewall
172.20.30.40,UDP,Malware,2025-02-12 10:46:52,82,67,High,56,887,Russia,Antivirus
8.8.8.8,FTP,Brute Force,2025-02-12 10:46:52,133,21,High,89,453,France,Firewall
172.16.5.3,HTTP,SQL Injection,2025-02-12 10:46:52,32,80,High,85,668,Canada,SIEM
10.0.0.2,FTP,Malware,2025-02-12 10:46:52,59,21,High,182,615,Germany,Antivirus
172.20.30.40,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,164,443,Critical,672,1308,USA,Firewall
172.16.5.3,HTTP,SQL Injection,2025-02-12 10:46:52,49,80,High,250,909,France,SIEM
10.0.0.2,UDP,Malware,2025-02-12 10:46:52,157,68,High,313,1124,France,Antivirus
172.16.5.3,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,90,80,Medium,45,509,India,SIEM
172.16.5.3,FTP,Malware,2025-02-12 10:46:52,42,21,High,307,760,Japan,Antivirus
192.168.100.10,UDP,DDoS,2025-02-12 10:46:52,403,68,Critical,563,1374,Russia,IPS
203.0.113.4,ICMP,DDoS,2025-02-12 10:46:52,433,0,Critical,696,1387,Brazil,IPS
172.16.5.3,UDP,DDoS,2025-02-12 10:46:52,180,68,Critical,1921,1431,Japan,IPS
192.0.2.6,HTTP,SQL Injection,2025-02-12 10:46:52,50,80,High,176,854,China,SIEM
8.8.8.8,SSH,Unauthorized Access,2025-02-12 10:46:52,84,22,High,92,578,Russia,Firewall
10.0.0.2,TCP,Brute Force,2025-02-12 10:46:52,240,22,High,96,402,UK,Firewall
198.51.100.5,UDP,Malware,2025-02-12 10:46:52,75,53,High,98,742,France,Antivirus
203.0.113.4,FTP,Brute Force,2025-02-12 10:46:52,172,21,High,84,414,Brazil,Firewall
10.10.10.10,DNS,DNS Spoofing,2025-02-12 10:46:52,66,53,Medium,171,383,Russia,IDS
192.168.1.1,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,107,80,Medium,126,222,Japan,SIEM
203.0.113.4,TCP,DDoS,2025-02-12 10:46:52,323,443,Critical,795,1263,USA,IPS
10.0.0.2,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,151,443,Critical,628,1367,Germany,Firewall
172.16.5.3,HTTP,SQL Injection,2025-02-12 10:46:52,102,80,High,153,675,Russia,SIEM
203.0.113.4,ICMP,DDoS,2025-02-12 10:46:52,269,0,Critical,1478,1489,France,IPS
10.0.0.2,UDP,Malware,2025-02-12 10:46:52,140,68,High,203,1137,India,Antivirus
192.168.100.10,SSH,Brute Force,2025-02-12 10:46:52,299,22,High,30,236,Brazil,Firewall
10.10.10.10,FTP,Malware,2025-02-12 10:46:52,34,21,High,71,727,Japan,Antivirus
203.0.113.4,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,175,443,Critical,999,687,Canada,Firewall
172.20.30.40,ICMP,DDoS,2025-02-12 10:46:52,211,0,Critical,1427,1372,China,IPS
192.168.100.10,HTTP,SQL Injection,2025-02-12 10:46:52,107,80,High,210,602,China,SIEM
172.16.5.3,FTP,Brute Force,2025-02-12 10:46:52,122,21,High,75,280,Canada,Firewall
10.10.10.10,SSH,Unauthorized Access,2025-02-12 10:46:52,116,22,High,151,312,Japan,Firewall
192.168.1.1,SSH,Brute Force,2025-02-12 10:46:52,117,22,High,27,436,Canada,Firewall
192.168.100.10,TCP,Port Scanning,2025-02-12 10:46:52,100,22,Medium,130,594,China,IDS
192.168.1.1,DNS,DNS Amplification,2025-02-12 10:46:52,187,53,High,757,1337,Japan,IPS
198.51.100.5,SSH,Unauthorized Access,2025-02-12 10:46:52,124,22,High,174,244,UK,Firewall
172.16.5.3,FTP,Brute Force,2025-02-12 10:46:52,183,21,High,78,362,USA,Firewall
10.10.10.10,SSH,Unauthorized Access,2025-02-12 10:46:52,34,22,High,212,510,China,Firewall
172.20.30.40,SSH,Brute Force,2025-02-12 10:46:52,188,22,High,65,455,Canada,Firewall
10.10.10.10,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,32,80,Medium,116,435,UK,SIEM
203.0.113.4,FTP,Brute Force,2025-02-12 10:46:52,132,21,High,97,347,Japan,Firewall
8.8.8.8,DNS,DNS Spoofing,2025-02-12 10:46:52,83,53,Medium,82,309,UK,IDS
8.8.8.8,HTTPS,Zero-Day,2025-02-12 10:46:52,12,443,Critical,249,740,Japan,SIEM
192.0.2.6,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,89,80,Medium,116,279,Canada,SIEM
172.20.30.40,SSH,Unauthorized Access,2025-02-12 10:46:52,99,22,High,32,390,UK,Firewall
172.16.5.3,UDP,DDoS,2025-02-12 10:46:52,478,53,Critical,808,1230,India,IPS
8.8.8.8,HTTP,SQL Injection,2025-02-12 10:46:52,61,80,High,240,937,Russia,SIEM
172.16.5.3,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,79,80,Medium,98,329,India,SIEM
198.51.100.5,DNS,DNS Spoofing,2025-02-12 10:46:52,15,53,Medium,134,567,France,IDS
192.168.100.10,FTP,Malware,2025-02-12 10:46:52,128,21,High,74,998,Germany,Antivirus
10.10.10.10,HTTP,SQL Injection,2025-02-12 10:46:52,141,80,High,190,634,India,SIEM
172.16.5.3,UDP,DDoS,2025-02-12 10:46:52,348,123,Critical,1912,1242,China,IPS
172.20.30.40,SSH,Brute Force,2025-02-12 10:46:52,219,22,High,12,368,France,Firewall
8.8.8.8,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,79,80,Medium,195,384,India,SIEM
172.16.5.3,SSH,Brute Force,2025-02-12 10:46:52,183,22,High,73,251,Japan,Firewall
172.16.5.3,DNS,DNS Spoofing,2025-02-12 10:46:52,45,53,Medium,32,312,Japan,IDS
10.0.0.2,ICMP,Ping Flood,2025-02-12 10:46:52,83,0,Medium,183,1425,Japan,IPS
192.0.2.6,DNS,DNS Amplification,2025-02-12 10:46:52,204,53,High,384,1383,Brazil,IPS
192.0.2.6,SSH,Brute Force,2025-02-12 10:46:52,194,22,High,99,278,UK,Firewall
198.51.100.5,SSH,Brute Force,2025-02-12 10:46:52,254,22,High,38,278,Brazil,Firewall
10.0.0.2,TCP,Brute Force,2025-02-12 10:46:52,120,25,High,13,484,Russia,Firewall
10.10.10.10,FTP,Malware,2025-02-12 10:46:52,45,21,High,249,963,India,Antivirus
10.10.10.10,TCP,DDoS,2025-02-12 10:46:52,454,22,Critical,1090,1435,China,IPS
192.0.2.6,HTTP,SQL Injection,2025-02-12 10:46:52,25,80,High,299,560,China,SIEM
192.168.1.1,FTP,Malware,2025-02-12 10:46:52,60,21,High,255,805,France,Antivirus
192.0.2.6,FTP,Brute Force,2025-02-12 10:46:52,97,21,High,47,465,India,Firewall
172.20.30.40,FTP,Malware,2025-02-12 10:46:52,99,21,High,190,570,Germany,Antivirus
8.8.8.8,FTP,Malware,2025-02-12 10:46:52,66,21,High,233,1018,Canada,Antivirus
172.16.5.3,UDP,DDoS,2025-02-12 10:46:52,287,67,Critical,1111,1331,France,IPS
10.0.0.2,ICMP,Ping Flood,2025-02-12 10:46:52,270,0,Medium,312,1246,UK,IPS
192.0.2.6,DNS,DNS Amplification,2025-02-12 10:46:52,313,53,High,349,1116,China,IPS
10.10.10.10,FTP,Malware,2025-02-12 10:46:52,71,21,High,384,788,China,Antivirus
203.0.113.4,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,119,80,Medium,176,287,Russia,SIEM
192.168.100.10,SSH,Brute Force,2025-02-12 10:46:52,266,22,High,70,336,UK,Firewall
172.20.30.40,FTP,Malware,2025-02-12 10:46:52,146,21,High,374,580,UK,Antivirus
192.0.2.6,DNS,DNS Spoofing,2025-02-12 10:46:52,18,53,Medium,104,307,France,IDS
192.0.2.6,UDP,DDoS,2025-02-12 10:46:52,286,53,Critical,942,1437,China,IPS
192.168.1.1,TCP,Port Scanning,2025-02-12 10:46:52,70,21,Medium,87,653,USA,IDS
8.8.8.8,HTTP,SQL Injection,2025-02-12 10:46:52,45,80,High,222,861,USA,SIEM
172.20.30.40,FTP,Malware,2025-02-12 10:46:52,135,21,High,115,1022,Canada,Antivirus
192.0.2.6,HTTP,SQL Injection,2025-02-12 10:46:52,48,80,High,172,328,Canada,SIEM
8.8.8.8,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,74,80,Medium,154,297,Japan,SIEM
203.0.113.4,TCP,Port Scanning,2025-02-12 10:46:52,74,21,Medium,44,648,UK,IDS
192.168.100.10,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,16,80,Medium,66,360,USA,SIEM
172.16.5.3,TCP,Brute Force,2025-02-12 10:46:52,80,80,High,81,440,USA,Firewall
192.168.1.1,DNS,DNS Amplification,2025-02-12 10:46:52,313,53,High,888,1168,USA,IPS
203.0.113.4,ICMP,DDoS,2025-02-12 10:46:52,207,0,Critical,1276,1474,China,IPS
203.0.113.4,TCP,Brute Force,2025-02-12 10:46:52,281,25,High,78,273,USA,Firewall
10.0.0.2,SSH,Unauthorized Access,2025-02-12 10:46:52,36,22,High,63,551,India,Firewall
172.20.30.40,HTTPS,Zero-Day,2025-02-12 10:46:52,21,443,Critical,182,1068,Japan,SIEM
198.51.100.5,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,203,443,Critical,303,697,China,Firewall
10.0.0.2,UDP,Malware,2025-02-12 10:46:52,173,68,High,80,670,Brazil,Antivirus
10.10.10.10,DNS,DNS Spoofing,2025-02-12 10:46:52,28,53,Medium,91,358,USA,IDS
172.16.5.3,FTP,Brute Force,2025-02-12 10:46:52,279,21,High,47,313,India,Firewall
203.0.113.4,DNS,DNS Amplification,2025-02-12 10:46:52,202,53,High,1378,1453,India,IPS
10.0.0.2,HTTPS,Zero-Day,2025-02-12 10:46:52,27,443,Critical,518,1059,Russia,SIEM
8.8.8.8,SSH,Unauthorized Access,2025-02-12 10:46:52,87,22,High,66,618,Japan,Firewall
203.0.113.4,ICMP,Ping Flood,2025-02-12 10:46:52,287,0,Medium,695,1300,India,IPS
192.0.2.6,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,58,443,Critical,510,1376,Brazil,Firewall
10.10.10.10,UDP,Malware,2025-02-12 10:46:52,130,53,High,143,1066,Canada,Antivirus
10.0.0.2,UDP,Malware,2025-02-12 10:46:52,59,53,High,184,552,China,Antivirus
10.0.0.2,UDP,DDoS,2025-02-12 10:46:52,461,67,Critical,1376,1366,France,IPS
172.16.5.3,SSH,Brute Force,2025-02-12 10:46:52,83,22,High,84,263,Russia,Firewall
192.168.100.10,ICMP,Ping Flood,2025-02-12 10:46:52,270,0,Medium,275,1199,China,IPS
192.0.2.6,FTP,Brute Force,2025-02-12 10:46:52,292,21,High,51,471,India,Firewall
10.0.0.2,TCP,DDoS,2025-02-12 10:46:52,248,21,Critical,586,1370,France,IPS
172.16.5.3,HTTPS,Zero-Day,2025-02-12 10:46:52,28,443,Critical,750,904,China,SIEM
8.8.8.8,SSH,Brute Force,2025-02-12 10:46:52,111,22,High,40,472,USA,Firewall
8.8.8.8,HTTPS,Zero-Day,2025-02-12 10:46:52,28,443,Critical,325,741,Canada,SIEM
8.8.8.8,ICMP,DDoS,2025-02-12 10:46:52,185,0,Critical,1473,1365,Brazil,IPS
192.168.100.10,UDP,Malware,2025-02-12 10:46:52,48,67,High,53,509,France,Antivirus
192.168.100.10,FTP,Malware,2025-02-12 10:46:52,48,21,High,74,689,France,Antivirus
10.0.0.2,UDP,Malware,2025-02-12 10:46:52,196,123,High,68,655,France,Antivirus
192.168.100.10,FTP,Brute Force,2025-02-12 10:46:52,117,21,High,82,339,USA,Firewall
192.0.2.6,SSH,Unauthorized Access,2025-02-12 10:46:52,140,22,High,153,620,Canada,Firewall
8.8.8.8,ICMP,DDoS,2025-02-12 10:46:52,271,0,Critical,1512,1210,France,IPS
172.20.30.40,TCP,Brute Force,2025-02-12 10:46:52,229,25,High,40,361,Germany,Firewall
192.0.2.6,DNS,DNS Amplification,2025-02-12 10:46:52,196,53,High,393,1290,Brazil,IPS
192.0.2.6,UDP,DDoS,2025-02-12 10:46:52,200,67,Critical,999,1374,Brazil,IPS
172.16.5.3,DNS,DNS Amplification,2025-02-12 10:46:52,322,53,High,498,1151,UK,IPS
10.10.10.10,TCP,DDoS,2025-02-12 10:46:52,255,25,Critical,1039,1305,Germany,IPS
192.168.100.10,FTP,Brute Force,2025-02-12 10:46:52,74,21,High,29,241,UK,Firewall
10.0.0.2,UDP,DDoS,2025-02-12 10:46:52,366,67,Critical,1629,1359,France,IPS
192.168.100.10,DNS,DNS Amplification,2025-02-12 10:46:52,194,53,High,498,1199,Germany,IPS
10.10.10.10,FTP,Malware,2025-02-12 10:46:52,154,21,High,376,1138,Brazil,Antivirus
10.0.0.2,UDP,Malware,2025-02-12 10:46:52,154,67,High,304,690,USA,Antivirus
172.20.30.40,ICMP,DDoS,2025-02-12 10:46:52,431,0,Critical,700,1268,Canada,IPS
172.20.30.40,UDP,Malware,2025-02-12 10:46:52,116,67,High,179,701,India,Antivirus
10.10.10.10,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,89,443,Critical,756,541,USA,Firewall
192.168.100.10,FTP,Brute Force,2025-02-12 10:46:52,109,21,High,81,446,USA,Firewall
10.10.10.10,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,205,443,Critical,536,1378,India,Firewall
198.51.100.5,HTTPS,Zero-Day,2025-02-12 10:46:52,9,443,Critical,494,885,Canada,SIEM
192.0.2.6,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,78,443,Critical,949,954,India,Firewall
203.0.113.4,TCP,Brute Force,2025-02-12 10:46:52,96,22,High,29,308,UK,Firewall
10.10.10.10,FTP,Brute Force,2025-02-12 10:46:52,207,21,High,28,463,China,Firewall
10.0.0.2,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,109,80,Medium,108,519,India,SIEM
10.10.10.10,HTTP,SQL Injection,2025-02-12 10:46:52,118,80,High,222,927,France,SIEM
172.16.5.3,SSH,Unauthorized Access,2025-02-12 10:46:52,45,22,High,33,686,Russia,Firewall
10.10.10.10,TCP,Port Scanning,2025-02-12 10:46:52,32,22,Medium,72,492,UK,IDS
10.0.0.2,FTP,Malware,2025-02-12 10:46:52,40,21,High,395,532,India,Antivirus
192.0.2.6,FTP,Brute Force,2025-02-12 10:46:52,132,21,High,68,277,Russia,Firewall
192.168.1.1,DNS,DNS Spoofing,2025-02-12 10:46:52,46,53,Medium,124,204,France,IDS
192.0.2.6,TCP,Port Scanning,2025-02-12 10:46:52,38,443,Medium,128,424,Russia,IDS
172.16.5.3,TCP,Brute Force,2025-02-12 10:46:52,293,25,High,54,200,Japan,Firewall
172.16.5.3,UDP,DDoS,2025-02-12 10:46:52,375,53,Critical,1211,1487,Canada,IPS
172.16.5.3,HTTP,SQL Injection,2025-02-12 10:46:52,96,80,High,203,921,Japan,SIEM
8.8.8.8,TCP,DDoS,2025-02-12 10:46:52,208,22,Critical,854,1457,India,IPS
10.10.10.10,SSH,Unauthorized Access,2025-02-12 10:46:52,71,22,High,187,339,USA,Firewall
198.51.100.5,ICMP,DDoS,2025-02-12 10:46:52,364,0,Critical,594,1439,USA,IPS
198.51.100.5,TCP,Port Scanning,2025-02-12 10:46:52,24,21,Medium,105,645,Russia,IDS
10.0.0.2,UDP,Malware,2025-02-12 10:46:52,75,53,High,292,1167,France,Antivirus
10.0.0.2,DNS,DNS Spoofing,2025-02-12 10:46:52,60,53,Medium,85,551,Russia,IDS
8.8.8.8,SSH,Brute Force,2025-02-12 10:46:52,142,22,High,44,367,China,Firewall
192.168.100.10,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,215,443,Critical,422,749,Canada,Firewall
203.0.113.4,FTP,Malware,2025-02-12 10:46:52,144,21,High,275,662,Japan,Antivirus
203.0.113.4,ICMP,Ping Flood,2025-02-12 10:46:52,289,0,Medium,133,1181,China,IPS
192.168.100.10,TCP,Brute Force,2025-02-12 10:46:52,264,443,High,93,488,Germany,Firewall
10.10.10.10,TCP,DDoS,2025-02-12 10:46:52,132,22,Critical,1019,1254,China,IPS
203.0.113.4,HTTP,SQL Injection,2025-02-12 10:46:52,40,80,High,279,420,Japan,SIEM
172.20.30.40,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,14,80,Medium,26,509,India,SIEM
192.0.2.6,UDP,Malware,2025-02-12 10:46:52,31,123,High,400,1083,Canada,Antivirus
172.16.5.3,ICMP,DDoS,2025-02-12 10:46:52,237,0,Critical,1366,1208,Brazil,IPS
203.0.113.4,UDP,DDoS,2025-02-12 10:46:52,330,67,Critical,1537,1258,Germany,IPS
10.0.0.2,HTTPS,Zero-Day,2025-02-12 10:46:52,22,443,Critical,189,1114,USA,SIEM
192.168.100.10,TCP,Port Scanning,2025-02-12 10:46:52,45,443,Medium,80,476,Brazil,IDS
203.0.113.4,DNS,DNS Spoofing,2025-02-12 10:46:52,47,53,Medium,41,505,China,IDS
192.168.100.10,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,29,80,Medium,127,444,India,SIEM
203.0.113.4,HTTP,SQL Injection,2025-02-12 10:46:52,122,80,High,196,833,UK,SIEM
203.0.113.4,FTP,Malware,2025-02-12 10:46:52,40,21,High,275,600,Russia,Antivirus
10.0.0.2,HTTPS,Zero-Day,2025-02-12 10:46:52,46,443,Critical,622,953,Germany,SIEM
198.51.100.5,ICMP,Ping Flood,2025-02-12 10:46:52,397,0,Medium,564,1250,Russia,IPS
192.168.100.10,SSH,Unauthorized Access,2025-02-12 10:46:52,174,22,High,96,366,Canada,Firewall
198.51.100.5,UDP,DDoS,2025-02-12 10:46:52,314,67,Critical,1622,1232,Japan,IPS
10.0.0.2,SSH,Brute Force,2025-02-12 10:46:52,241,22,High,60,470,India,Firewall
172.20.30.40,FTP,Brute Force,2025-02-12 10:46:52,182,21,High,24,376,Germany,Firewall
192.168.100.10,UDP,DDoS,2025-02-12 10:46:52,463,53,Critical,1589,1338,Brazil,IPS
203.0.113.4,FTP,Brute Force,2025-02-12 10:46:52,82,21,High,34,306,Canada,Firewall
8.8.8.8,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,109,80,Medium,78,575,USA,SIEM
192.0.2.6,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,112,443,Critical,700,697,Germany,Firewall
198.51.100.5,ICMP,Ping Flood,2025-02-12 10:46:52,257,0,Medium,709,1272,UK,IPS
172.20.30.40,DNS,DNS Spoofing,2025-02-12 10:46:52,40,53,Medium,115,553,Canada,IDS
203.0.113.4,UDP,DDoS,2025-02-12 10:46:52,268,123,Critical,911,1395,Brazil,IPS
192.168.100.10,SSH,Unauthorized Access,2025-02-12 10:46:52,53,22,High,165,277,Brazil,Firewall
203.0.113.4,UDP,DDoS,2025-02-12 10:46:52,474,53,Critical,1786,1333,Russia,IPS
192.168.1.1,HTTP,SQL Injection,2025-02-12 10:46:52,39,80,High,87,826,France,SIEM
192.168.1.1,DNS,DNS Amplification,2025-02-12 10:46:52,243,53,High,1038,1007,Brazil,IPS
203.0.113.4,TCP,DDoS,2025-02-12 10:46:52,287,22,Critical,1189,1481,Germany,IPS
172.20.30.40,UDP,DDoS,2025-02-12 10:46:52,105,123,Critical,1157,1215,Germany,IPS
198.51.100.5,DNS,DNS Spoofing,2025-02-12 10:46:52,56,53,Medium,82,339,Brazil,IDS
10.0.0.2,SSH,Unauthorized Access,2025-02-12 10:46:52,74,22,High,45,689,India,Firewall
198.51.100.5,ICMP,Ping Flood,2025-02-12 10:46:52,169,0,Medium,625,1078,Germany,IPS
10.10.10.10,ICMP,Ping Flood,2025-02-12 10:46:52,219,0,Medium,271,1437,Japan,IPS
172.16.5.3,TCP,Brute Force,2025-02-12 10:46:52,111,80,High,45,441,India,Firewall
10.10.10.10,SSH,Brute Force,2025-02-12 10:46:52,180,22,High,57,334,France,Firewall
10.10.10.10,TCP,DDoS,2025-02-12 10:46:52,139,80,Critical,1736,1319,France,IPS
192.168.1.1,SSH,Unauthorized Access,2025-02-12 10:46:52,76,22,High,30,537,Japan,Firewall
192.168.1.1,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,26,80,Medium,163,581,Japan,SIEM
192.168.1.1,HTTPS,Zero-Day,2025-02-12 10:46:52,16,443,Critical,394,895,India,SIEM
192.168.100.10,HTTP,SQL Injection,2025-02-12 10:46:52,61,80,High,232,851,Brazil,SIEM
10.10.10.10,ICMP,Ping Flood,2025-02-12 10:46:52,225,0,Medium,648,1429,France,IPS
192.0.2.6,HTTP,SQL Injection,2025-02-12 10:46:52,115,80,High,73,358,Canada,SIEM
192.0.2.6,UDP,Malware,2025-02-12 10:46:52,167,53,High,94,952,Russia,Antivirus
192.168.1.1,ICMP,DDoS,2025-02-12 10:46:52,100,0,Critical,1991,1234,France,IPS
10.0.0.2,HTTP,SQL Injection,2025-02-12 10:46:52,23,80,High,112,582,India,SIEM
10.0.0.2,SSH,Unauthorized Access,2025-02-12 10:46:52,121,22,High,105,697,Brazil,Firewall
10.0.0.2,UDP,Malware,2025-02-12 10:46:52,112,53,High,362,1121,Japan,Antivirus
203.0.113.4,UDP,DDoS,2025-02-12 10:46:52,116,123,Critical,595,1462,UK,IPS
172.20.30.40,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,39,80,Medium,133,443,Brazil,SIEM
192.0.2.6,HTTPS,Zero-Day,2025-02-12 10:46:52,16,443,Critical,626,1079,Japan,SIEM
8.8.8.8,SSH,Unauthorized Access,2025-02-12 10:46:52,48,22,High,241,324,UK,Firewall
8.8.8.8,DNS,DNS Amplification,2025-02-12 10:46:52,443,53,High,1068,1188,France,IPS
10.0.0.2,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,21,80,Medium,52,370,UK,SIEM
203.0.113.4,ICMP,Ping Flood,2025-02-12 10:46:52,228,0,Medium,511,1158,Canada,IPS
192.168.100.10,HTTP,SQL Injection,2025-02-12 10:46:52,64,80,High,165,715,Canada,SIEM
203.0.113.4,DNS,DNS Spoofing,2025-02-12 10:46:52,25,53,Medium,158,386,Japan,IDS
172.20.30.40,TCP,DDoS,2025-02-12 10:46:52,452,443,Critical,843,1342,Japan,IPS
10.0.0.2,SSH,Unauthorized Access,2025-02-12 10:46:52,49,22,High,33,394,India,Firewall
8.8.8.8,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,23,80,Medium,86,201,Germany,SIEM
203.0.113.4,FTP,Malware,2025-02-12 10:46:52,95,21,High,79,1129,UK,Antivirus
172.16.5.3,SSH,Brute Force,2025-02-12 10:46:52,162,22,High,51,244,Japan,Firewall
192.0.2.6,TCP,Brute Force,2025-02-12 10:46:52,164,80,High,15,277,USA,Firewall
172.20.30.40,ICMP,Ping Flood,2025-02-12 10:46:52,146,0,Medium,185,1372,Japan,IPS
172.20.30.40,DNS,DNS Spoofing,2025-02-12 10:46:52,31,53,Medium,44,250,China,IDS
198.51.100.5,UDP,Malware,2025-02-12 10:46:52,31,67,High,172,762,Brazil,Antivirus
203.0.113.4,SSH,Unauthorized Access,2025-02-12 10:46:52,89,22,High,102,600,Brazil,Firewall
172.20.30.40,ICMP,DDoS,2025-02-12 10:46:52,110,0,Critical,1478,1365,UK,IPS
10.0.0.2,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,176,443,Critical,850,1373,China,Firewall
192.168.1.1,UDP,Malware,2025-02-12 10:46:52,58,123,High,301,1157,Brazil,Antivirus
203.0.113.4,ICMP,DDoS,2025-02-12 10:46:52,351,0,Critical,667,1285,Brazil,IPS
10.0.0.2,UDP,Malware,2025-02-12 10:46:52,107,123,High,226,680,Japan,Antivirus
172.16.5.3,HTTPS,Zero-Day,2025-02-12 10:46:52,41,443,Critical,766,764,Brazil,SIEM
172.16.5.3,ICMP,DDoS,2025-02-12 10:46:52,344,0,Critical,635,1453,China,IPS
192.168.100.10,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,115,443,Critical,769,1437,India,Firewall
192.168.1.1,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,84,80,Medium,36,340,India,SIEM
172.20.30.40,FTP,Malware,2025-02-12 10:46:52,180,21,High,350,1044,UK,Antivirus
10.0.0.2,DNS,DNS Spoofing,2025-02-12 10:46:52,16,53,Medium,165,535,Brazil,IDS
8.8.8.8,ICMP,Ping Flood,2025-02-12 10:46:52,400,0,Medium,647,1192,USA,IPS
10.0.0.2,UDP,Malware,2025-02-12 10:46:52,113,53,High,51,1054,Canada,Antivirus
10.10.10.10,HTTPS,Zero-Day,2025-02-12 10:46:52,24,443,Critical,251,516,Brazil,SIEM
192.168.100.10,UDP,Malware,2025-02-12 10:46:52,142,123,High,400,628,Russia,Antivirus
